"Timestamp","Your Age -","Your Gender -","Do you donate in charity?","When was the last time you donated to charity?","You are - for donation","On which platform did you donate?","How do you donate in Charity?","Is it early for Bangladesh to promote an online donation campaign?","How do you think people will receive an online donation campaign?","How do you agree that it's easier to donate online?","Do you consider yourself a - ?","Do you think that your donations are focused (or not) to specific areas?","Choose any 5 areas to be focused-","Do you think that your donation will make a difference?","Any suggestion for us?"
"2021/06/09 9:45:17 PM GMT+6","1-25","Male","No","Do not donate in charity","Independent nonprofit reports","Other","Other","Maybe","Somewhat negatively","Neutral","I do not do any fundraising but I support what you do","No","Education;Poverty reduction;Health care;Youth or Children affairs;Tax policy","Yes","Rahat Maksud Pranto well done and best of luck for SP1"
"2021/06/09 10:17:51 PM GMT+6","31-40","Male","Yes","A month ago","Independent nonprofit reports","Person to person","Mobile Banking;Cash","No","Very positively","Strongly agree","I do not do any fundraising but I support what you do","Yes","Education;Poverty reduction;Health care;Developing infrastructure;Water problem","Yes","You could write about the objective of the survey clearly. "
"2021/06/09 11:42:33 PM GMT+6","25-30","Male","Yes","A month ago","Independent nonprofit reports","Person to person","Bank Transfer;Mobile Banking;Cash","Maybe","Neither positively nor negatively","Agree","Part time fundraiser","Yes","Education;Poverty reduction;Health care;Human rights;Youth or Children affairs","Yes",""
"2021/06/10 12:09:42 AM GMT+6","1-25","Male","Yes","In the last week","Independent nonprofit reports","Person to person","Cash","Maybe","Somewhat positively","Neutral","I do not do any fundraising but I support what you do","No","Education;Poverty reduction;Health care","Maybe",""
"2021/06/10 12:43:12 AM GMT+6","1-25","Male","Yes","A month ago","Relies on public reports to decide","Person to person","Mobile Banking","Yes","Somewhat positively","Agree","Part time fundraiser","Maybe","Education;Poverty reduction;Health care;Human rights;Youth or Children affairs","Maybe",""
"2021/06/10 12:46:29 AM GMT+6","1-25","Male","Yes","A month ago","Relies on public reports to decide","Charity website","Mobile Banking","Maybe","Very positively","Agree","Volunteer fundraiser","Maybe","Education;Poverty reduction;Health care;Developing infrastructure;Water problem","Maybe",""
"2021/06/10 2:49:01 AM GMT+6","1-25","Male","Yes","More than 6 months ago","Independent nonprofit reports","Through an App","Mobile Banking","No","Very positively","Strongly agree","I do not do any fundraising but I support what you do","Maybe","Education;Poverty reduction;Health care;Youth or Children affairs;Water problem","Maybe"," :)"
"2021/06/10 8:17:39 AM GMT+6","1-25","Male","Yes","A month ago","Independent nonprofit reports","Social Media","Mobile Banking","No","Very positively","Agree","I do not do any fundraising but I support what you do","Yes","Poverty reduction;Health care;Human rights;Youth or Children affairs;Water problem","Maybe","Try to do something for underprivileged children"
"2021/06/10 9:57:18 AM GMT+6","1-25","Male","Yes","A month ago","Independent nonprofit reports","Person to person","Cash","Yes","Very positively","Agree","Part time fundraiser","Yes","Education;Health care;Human rights;Youth or Children affairs;Developing infrastructure","Yes","Thanks"
"2021/06/10 11:34:10 AM GMT+6","1-25","Male","Yes","More than 6 months ago","Direct engaged to charity organizations","Social Media","Mobile Banking","No","Somewhat positively","Strongly agree","I do not do any fundraising but I support what you do","Yes","Education;Poverty reduction;Health care;Youth or Children affairs;Rohingya problem","Yes","Good luck with the project!"
"2021/06/10 1:13:06 PM GMT+6","1-25","Female","Yes","In the last week","Independent nonprofit reports","Other","Cash","No","Very positively","Agree","I do not do any fundraising but I support what you do","No","Education;Health care;Human rights;International issues;Water problem","Maybe","It is really a good initiative. Good luck for you!  "
"2021/06/10 2:05:37 PM GMT+6","1-25","Male","Yes","A month ago","Direct engaged to charity organizations","Through an App","Bank Transfer;Mobile Banking;Cash","No","Very positively","Strongly agree","Part time fundraiser","No","Education;Poverty reduction;Health care;Human rights;Rohingya problem","Yes","N/A"
"2021/06/10 2:16:13 PM GMT+6","1-25","Male","Yes","A month ago","Independent nonprofit reports","Person to person","Mobile Banking;Cash","No","Somewhat positively","Agree","I do not do any fundraising but I support what you do","Maybe","Education;Poverty reduction;Health care;Human rights;Youth or Children affairs;International issues","Maybe","Best wishes for youe campaign."
"2021/06/10 3:42:39 PM GMT+6","1-25","Male","Yes","More than 6 months ago","Relies on public reports to decide","Through an App","Mobile Banking","No","Very positively","Strongly agree","I do not do any fundraising but I support what you do","Maybe","Education;Poverty reduction;Health care;Human rights;Developing infrastructure;Water problem","Maybe",""
"2021/06/10 5:05:26 PM GMT+6","1-25","Male","Yes","More than 6 months ago","Direct engaged to charity organizations","Through an App","Mobile Banking;Cash","Yes","Somewhat positively","Agree","I do not do any fundraising but I support what you do","Yes","Education;Poverty reduction;Health care;Human rights;Youth or Children affairs","Yes",""
"2021/06/10 5:14:57 PM GMT+6","1-25","Male","Yes","A month ago","Direct engaged to charity organizations","Through an App","Mobile Banking","Yes","Somewhat positively","Agree","Volunteer fundraiser","No","Education;Health care;Youth or Children affairs;Developing infrastructure;Water problem","Yes","Good Luck"
"2021/06/10 5:46:56 PM GMT+6","1-25","Male","Yes","A month ago","Relies on public reports to decide","Person to person","Mobile Banking;Cash","No","Somewhat positively","Strongly agree","I do not do any fundraising but I support what you do","No","Poverty reduction;Health care;Human rights;International issues","Maybe","Nill"
"2021/06/10 6:39:58 PM GMT+6","1-25","Male","Yes","In the last week","Direct engaged to charity organizations","Person to person","Cash","No","Somewhat positively","Agree","Volunteer fundraiser","Yes","Education;Poverty reduction;Health care;Human rights;Youth or Children affairs","Yes","Never do charity with dads money."
"2021/06/10 7:20:16 PM GMT+6","1-25","Male","Yes","A month ago","Independent nonprofit reports","Person to person","Other","Maybe","Somewhat negatively","Agree","I do not do any fundraising but I support what you do","Yes","Education;Poverty reduction;Health care;Youth or Children affairs;International issues;Water problem;Rohingya problem","Yes","Keep up the good work"
